architecture,feature_dim,learning_rate,epoch,train_loss,val_loss,avg_latency,fitness
alexnet,256,1e-05,1,89.87931033863741,80.32065131447531,0.0007111267610029,0.0
alexnet,256,1e-05,10,25.097946907492243,26.39434896815907,0.0,0.0
alexnet,256,1e-05,9,25.32345702227424,26.358228249983355,0.001445477659052,0.0
alexnet,256,1e-05,8,25.33899125491872,26.49910029498013,0.0035426833412863,0.0
alexnet,256,1e-05,7,25.63479434742647,26.68138885498047,0.0011747100136496,0.0
alexnet,256,1e-05,6,25.67045570822323,27.02732662721114,0.0016219507564197,0.0
alexnet,256,1e-05,5,25.809514595480525,26.85268272053112,0.0007149197838523,0.0
alexnet,256,1e-05,4,25.98511685764088,27.03352269259366,0.0009650642221624,0.0
alexnet,256,1e-05,3,26.35355179730584,27.41791178963401,0.0017032298174771,0.0
alexnet,256,1e-05,2,44.73300036262064,27.714519804174248,0.0007168596441095,0.0
vgg11_bn,512,0.001,3,19.8248244117288,19.43416404724121,0.0018101822246204,0.015748130273231
vgg11_bn,512,0.001,4,17.48494094399845,17.347967537966642,0.0015569166703657,0.015748130273231
vgg11_bn,512,0.001,5,16.42916788213393,16.41022130576047,0.0035886872898448,0.015748130273231
vgg11_bn,512,0.001,6,15.235792911753936,17.542307550256904,0.0020500313151966,0.015748130273231
vgg11_bn,512,0.001,9,13.406708504171933,13.55610104040666,0.0020003318786621,0.015748130273231
vgg11_bn,512,0.001,8,14.046976280212402,13.84368109703064,0.0009896863590587,0.015748130273231
vgg11_bn,512,0.001,10,13.013910742367017,15.917646754871717,0.0009893504056063,0.015748130273231
vgg11_bn,512,0.001,2,20.89839370951933,23.73424887657165,0.0,0.015748130273231
vgg11_bn,512,0.001,7,15.099771740857292,14.862277421084316,0.0005777424032037,0.015748130273231
vgg11_bn,512,0.001,1,40.139619625315945,21.909423437985502,0.0033394965258511,0.015748130273231
vgg11,512,0.001,2,24.963659084544464,25.94888897375627,0.0014246485450051,0.0254779538136279
vgg11,512,0.001,10,22.054157548792222,22.536789200522684,0.0011305050416426,0.0254779538136279
vgg11,512,0.001,3,24.50445556640625,23.37950611114502,0.0014385960318825,0.0254779538136279
vgg11,512,0.001,1,46.91579155641443,28.01308007673784,0.0021876096725463,0.0254779538136279
vgg11,512,0.001,4,23.900090094173656,23.34672277623957,0.0007130449468439,0.0254779538136279
vgg11,512,0.001,6,22.94310177073759,24.701480345292524,0.0,0.0254779538136279
vgg11,512,0.001,7,22.931847493788776,27.03308023105968,0.0008613629774613,0.0254779538136279
vgg11,512,0.001,8,22.46737420699176,22.355326652526852,0.0,0.0254779538136279
vgg11,512,0.001,9,21.95703991160673,22.14047345248136,0.0004934831099076,0.0254779538136279
vgg11,512,0.001,5,22.809515324760884,22.68991400978782,0.0007151798768477,0.0254779538136279
vgg11,512,0.01,9,23.479756243088666,24.00233229723844,0.003176136450334,0.028407238108985
vgg11,512,0.01,8,23.622944416719324,25.83757868680087,0.0028550082987005,0.028407238108985
vgg11,512,0.01,7,24.43125677669749,25.121361255645752,0.0007138469002463,0.028407238108985
vgg11,512,0.01,6,24.711950885548312,29.30678827112371,0.0007319125262173,0.028407238108985
vgg11,512,0.01,5,23.99293921975529,26.632792646234687,0.0028666149486194,0.028407238108985
vgg11,512,0.01,4,24.21659662583295,23.79358178919012,0.0026590824127197,0.028407238108985
vgg11,512,0.01,3,24.533687950583065,24.28794288635254,0.001131534576416,0.028407238108985
vgg11,512,0.01,2,23.913748685051413,26.695947473699395,0.0035699931058016,0.028407238108985
vgg11,512,0.01,1,130131.06900145586,24.04568845575506,0.0030657269737937,0.028407238108985
vgg11,512,0.01,10,24.020696931726796,24.7431921525435,0.0011480829932472,0.028407238108985
resnet18,512,0.01,2,20.14750576019287,19.289302652532403,0.0050339698791503,0.0286780429218932
resnet18,512,0.01,4,16.831691562428194,23.01307825608687,0.0045410069552334,0.0286780429218932
resnet18,512,0.01,5,15.345244991078095,14.44236135482788,0.0048109509728171,0.0286780429218932
resnet18,512,0.01,6,14.43794454686782,21.099413134834982,0.0033950914036143,0.0286780429218932
resnet18,512,0.01,7,14.621916782154756,19.61409213326194,0.0021403160962191,0.0286780429218932
resnet18,512,0.01,8,12.799644941442152,13.051921107552268,0.0042901039123535,0.0286780429218932
resnet18,512,0.01,9,12.265170288085937,11.460862809961492,0.0021606683731079,0.0286780429218932
resnet18,512,0.01,10,12.519229305491727,13.380141388286244,0.0021433288400823,0.0286780429218932
resnet18,512,0.01,1,26.35958706350888,21.164420821449973,0.0040852156552401,0.0286780429218932
resnet18,512,0.01,3,18.0390947005328,19.72097526897084,0.0039469545537775,0.0286780429218932
alexnet,256,0.01,1,690.876012802124,24.912870277057998,0.0011921037327159,0.0291336547216422
alexnet,256,0.01,10,23.864535701976106,24.068642616271973,0.0012104402888904,0.0291336547216422
alexnet,256,0.01,8,23.64512331345502,24.386105710809883,0.0018867687745527,0.0291336547216422
alexnet,256,0.01,7,23.590387501436123,24.36453273079612,0.0017470013011585,0.0291336547216422
alexnet,256,0.01,6,23.713359765445485,24.710426157171074,0.001312104138461,0.0291336547216422
alexnet,256,0.01,5,23.67086825651281,24.352360898798164,0.0021583492105657,0.0291336547216422
alexnet,256,0.01,4,23.82117807724897,24.17370826547796,0.0011537400158968,0.0291336547216422
alexnet,256,0.01,3,23.80889228372013,24.254352136091757,0.0029390074990012,0.0291336547216422
alexnet,256,0.01,2,23.72730077855727,23.829857566139918,0.0013576204126531,0.0291336547216422
alexnet,256,0.01,9,23.88390875423656,24.64278507232666,0.0,0.0291336547216422
alexnet,256,0.0001,1,41.835695109647865,26.37559106133201,0.0007151256908069,0.0350959097807414
alexnet,256,0.0001,10,24.29532865636489,24.218429131941363,0.0014491406354037,0.0350959097807414
alexnet,256,0.0001,9,24.20040601842544,30.030448826876555,0.0014437762173739,0.0350959097807414
alexnet,256,0.0001,8,24.534948595832372,24.9417761889371,0.0014618960293856,0.0350959097807414
alexnet,256,0.0001,7,24.698398096421187,25.040395823392,0.0011009194634177,0.0350959097807414
alexnet,256,0.0001,6,25.39506710276884,25.35522053458474,0.0,0.0350959097807414
alexnet,256,0.0001,5,25.382972044103287,25.49529725855047,0.0006607012315229,0.0350959097807414
alexnet,256,0.0001,4,25.21205805610208,26.06042549826882,0.0014295361258766,0.0350959097807414
alexnet,256,0.0001,3,25.15247237261604,28.000487674366344,0.0007189295508644,0.0350959097807414
alexnet,256,0.0001,2,25.500711418600645,26.92130114815452,0.0014291134747591,0.0350959097807414
vgg11,512,1e-05,5,25.51326484680176,26.11600030552257,0.0021581758152354,0.0358162742447863
vgg11,512,1e-05,9,24.56854678883272,25.236127853393555,0.000236381183971,0.0358162742447863
vgg11,512,1e-05,8,24.760518062815947,25.58442310853438,0.0028661597858775,0.0358162742447863
vgg11,512,1e-05,7,25.04452029957491,25.65722014687278,0.000648249279369,0.0358162742447863
vgg11,512,1e-05,6,25.23555264192469,25.958038676868785,0.0028802915052934,0.0358162742447863
vgg11,512,1e-05,2,26.98281012142406,26.911203080957588,0.0013540441339666,0.0358162742447863
vgg11,512,1e-05,3,26.040161065494317,27.18044454401189,0.0014515248211947,0.0358162742447863
vgg11,512,1e-05,10,24.504366571762983,25.000457893718373,0.0014326247301968,0.0358162742447863
vgg11,512,1e-05,1,76.26329336727366,31.504407275806773,4.576552997935902e-05,0.0358162742447863
vgg11,512,1e-05,4,25.84804095099954,26.30259509520097,0.0006272901188243,0.0358162742447863
squeezenet1_0,512,1e-05,1,89.53226829977596,83.42369703813033,0.0040622949600219,0.037308753357183
squeezenet1_0,512,1e-05,4,26.388596747903264,26.900932442058217,0.0036451816558837,0.037308753357183
squeezenet1_0,512,1e-05,3,26.696226658540613,27.19041208787398,0.0043356418609619,0.037308753357183
squeezenet1_0,512,1e-05,2,51.8863468170166,27.8155351118608,0.003310582854531,0.037308753357183
squeezenet1_0,512,1e-05,10,24.954477265301872,25.95760692249645,0.0014372955669056,0.037308753357183
squeezenet1_0,512,1e-05,9,25.23890670327579,26.20425978573886,0.0030212510715831,0.037308753357183
squeezenet1_0,512,1e-05,8,25.51274898753447,26.267608079043303,0.002435955134305,0.037308753357183
squeezenet1_0,512,1e-05,7,25.57332231858197,26.417307073419742,0.0031366456638682,0.037308753357183
squeezenet1_0,512,1e-05,6,25.798198251163257,26.518257184462115,0.0043366713957353,0.037308753357183
squeezenet1_0,512,1e-05,5,26.07201643551097,26.69218527187001,0.0024758360602638,0.037308753357183
squeezenet1_1,512,0.01,6,23.59893213159898,23.99813617359508,0.0024732134558937,0.0412295186972083
squeezenet1_1,512,0.01,7,23.76957967421588,23.87672164223411,0.0035442222248424,0.0412295186972083
squeezenet1_1,512,0.01,8,23.383502399220188,24.737690795551647,0.00215960632671,0.0412295186972083
squeezenet1_1,512,0.01,9,23.427444435568415,23.776354096152566,0.0040667165409434,0.0412295186972083
squeezenet1_1,512,0.01,10,24.121601688160617,24.591583815487947,0.0016765702854503,0.0412295186972083
squeezenet1_1,512,0.01,3,23.573466671214383,24.128189173611727,0.0036782676523382,0.0412295186972083
squeezenet1_1,512,0.01,5,23.749866014368397,24.17687650160356,0.0032195286317305,0.0412295186972083
squeezenet1_1,512,0.01,4,23.22794292674345,23.842793811451305,0.0025236714969981,0.0412295186972083
squeezenet1_1,512,0.01,1,322.40062217712403,24.053015188737348,0.0052043091167103,0.0412295186972083
squeezenet1_1,512,0.01,2,23.51144402447869,23.82746072248979,0.0031381303613836,0.0412295186972083
alexnet,256,0.001,2,26.05392967672909,27.94748575037176,0.0014275095679543,0.0418526202321664
alexnet,256,0.001,1,44.453087279375865,30.03577639839866,0.0014308474280617,0.0418526202321664
alexnet,256,0.001,4,26.407419518863453,28.183801911093973,0.0021316896785389,0.0418526202321664
alexnet,256,0.001,5,25.51135134977453,28.234763145446777,0.0007114518772472,0.0418526202321664
alexnet,256,0.001,6,25.265607564589555,24.67775570262562,0.0021630742333152,0.0418526202321664
alexnet,256,0.001,7,24.61219047097599,24.53845908425071,0.0036221309141679,0.0418526202321664
alexnet,256,0.001,8,23.5320966944975,25.29667533527721,0.0011178255081176,0.0418526202321664
alexnet,256,0.001,9,23.12573987175437,21.412550796162,0.0,0.0418526202321664
alexnet,256,0.001,10,24.7430809581981,25.626998858018357,0.0016331455924294,0.0418526202321664
alexnet,256,0.001,3,26.301873038796817,28.19022274017334,0.0007152232256802,0.0418526202321664
resnet18,512,0.001,10,9.780162452248966,11.464295495640147,0.0039025545120239,0.044740038113686
resnet18,512,0.001,9,10.560617177626666,9.740669358860362,0.0035616592927412,0.044740038113686
resnet18,512,0.001,8,11.174152531343347,10.41166394407099,0.0029513835906982,0.044740038113686
resnet18,512,0.001,2,20.139176009683048,19.871750831604004,0.0009660070592706,0.044740038113686
resnet18,512,0.001,6,12.954936711928424,12.506190560080787,0.0045596903020685,0.044740038113686
resnet18,512,0.001,4,15.31445405623492,15.445339766415684,0.0066534172404896,0.044740038113686
resnet18,512,0.001,3,17.472452926635743,17.250748959454622,0.00661639733748,0.044740038113686
resnet18,512,0.001,1,38.27965462628533,22.95480307665738,0.0042883157730102,0.044740038113686
resnet18,512,0.001,7,12.415790019315832,13.47248077392578,0.0028133500706065,0.044740038113686
resnet18,512,0.001,5,14.36340367934283,14.343974763696844,0.0032932975075461,0.044740038113686
squeezenet1_1,512,0.0001,6,23.09368111105526,23.016960924321957,0.0031117092479359,0.0502926006325381
squeezenet1_1,512,0.0001,10,20.084728577557733,20.74534658952193,0.0024242834611372,0.0502926006325381
squeezenet1_1,512,0.0001,9,20.8649409013636,20.75399199399081,0.0023949904875321,0.0502926006325381
squeezenet1_1,512,0.0001,5,23.94467955196605,23.982290918176822,0.0048650719902732,0.0502926006325381
squeezenet1_1,512,0.0001,4,24.549229476031137,24.503821459683504,0.0025433518669822,0.0502926006325381
squeezenet1_1,512,0.0001,3,24.573512133430032,24.861127159812234,0.0043216943740844,0.0502926006325381
squeezenet1_1,512,0.0001,2,25.44188351350672,25.882315158843998,0.0028552250428633,0.0502926006325381
squeezenet1_1,512,0.0001,1,39.4060385535745,26.188784642653037,0.0040347142653031,0.0502926006325381
squeezenet1_1,512,0.0001,7,21.890616618885712,23.40584876320579,0.0033787597309459,0.0502926006325381
squeezenet1_1,512,0.0001,8,22.059619129405306,23.15519060871818,0.0021580782803622,0.0502926006325381
vgg11,512,0.0001,3,25.666302265840415,25.37171112407337,0.0015383633700284,0.0511156533668763
vgg11,512,0.0001,4,25.08206111683565,25.448880759152495,7.908994501287287e-05,0.0511156533668763
