image_id,x1,y1,x2,y2
'000cc0cd61c6c8d7.jpg',219,187,454,594
'004a688b02428848.jpg',255,306,404,553
'007e2d0680208072.jpg',416,157,621,428
'0081d67c4cfc9134.jpg',443,164,571,328
'00824274fbef9c93.jpg',204,50,390,397
'0097fb7387049d8b.jpg',438,45,704,408
'0098312a40cabb46.jpg',131,68,454,534
'00d5b7d68d52ac56.jpg',377,137,569,525
'00e64d002478816c.jpg',530,233,672,435
'01001bfe5b392d42.jpg',298,265,378,484
'010ee894cfeb8e2d.jpg',265,6,726,442
'013543040c660f1e.jpg',347,94,626,342
'01434c748b9d4c34.jpg',299,256,379,475
'0199bbd8f37992b9.jpg',330,100,609,507
'01a105e0cd997b28.jpg',406,299,630,532
'020517b9eff94e00.jpg',429,79,539,237
'02291ca49df995f6.jpg',228,210,344,411
'023e111345bab1c0.jpg',411,178,525,339
'0243459de7a4b0ce.jpg',301,123,414,370
'02d74d7e6e3bf01b.jpg',388,157,516,326
'02d9ec5d9bf105d3.jpg',461,164,566,317
'0336f9e8980b56cb.jpg',269,57,557,415
'0361982104d8758a.jpg',218,265,318,507
'0369ba5f1ca089fd.jpg',300,196,382,429
'0376e7c0565b8a67.jpg',393,243,507,404
'03b9b2c1f32493ea.jpg',361,30,758,524
'03fbe696bd10043e.jpg',406,85,731,483
'03fe1cda88f76e1b.jpg',270,150,373,352
'0499af873e64f06d.jpg',297,0,667,411
'049a3c6f883fa3d5.jpg',466,41,662,353
'049f8dff14552fa9.jpg',36,109,622,891
'04b5f10976b47b46.jpg',288,106,717,558
'04bb072f2b1535bc.jpg',443,115,617,298
'04c21aaeb77d3b63.jpg',262,288,365,480
'053c0837aec2eed9.jpg',406,155,521,295
'0596a69ff928037c.jpg',420,140,557,322
'05b9c0f137e6173d.jpg',420,155,562,311
'06504dd409b1edc6.jpg',384,100,653,453
'0656bcefcc6843fa.jpg',120,68,537,539
'066270658e88aa98.jpg',304,164,431,402
'06a3b72f9fc3e6d4.jpg',292,97,598,476
'06d916b9a20fd91f.jpg',236,123,424,429
'06e7adfa2a4e1424.jpg',448,164,566,346
'06f3dcc17229efa6.jpg',315,109,470,341
'0705e96910fdec57.jpg',301,90,672,537
'0709b12343ba67b3.jpg',257,123,418,411
'07390630efc3c87c.jpg',297,246,399,475
'075601cd61ea9333.jpg',438,338,882,937
'0771d1210094397f.jpg',489,145,818,477
'07842d3326fb5345.jpg',45,64,387,566
'07af3013279aab3b.jpg',470,178,580,339
'07e366d2defc52e2.jpg',361,97,672,460
'07e7da610a395c17.jpg',85,96,484,699
'07fd752228bcac18.jpg',257,374,552,731
'0847cdfc227e1ab8.jpg',281,256,400,521
'086b00949910e8a3.jpg',388,97,557,318
'086e52440e08f448.jpg',365,178,493,353
'0873e0bfa9309e2f.jpg',195,158,418,503
'087e3f0e5d568c52.jpg',226,45,584,658
'08eb2407d7c88b7a.jpg',379,170,521,315
'090aa8acb7def106.jpg',282,169,428,475
'090e4985928f82aa.jpg',106,210,469,658
'091df0028684f002.jpg',274,216,589,610
'095815e89af247c3.jpg',312,242,456,521
'0987499205524de9.jpg',603,27,768,259
'098ca2302677fff6.jpg',311,132,402,333
'09932d97367c7b76.jpg',288,228,658,758
'09e473c0d9bf71e7.jpg',356,70,603,341
'0a1f6ed36f1bd8bf.jpg',261,278,336,507
'0a9ae8f9bf2f8b5c.jpg',210,160,332,379
'0aee61e76d4cf3b5.jpg',257,59,548,461
'0b1659869d490dcd.jpg',304,214,466,457
'0b2f1de705802d0e.jpg',220,274,286,493
'0b3ad3e0b0b3eeca.jpg',384,168,534,360
'0b64e5f8e54fcb6a.jpg',379,246,512,484
'0bb621ebf775cb91.jpg',306,41,458,274
'0be6b78bb96d4c49.jpg',187,86,349,361
'0be97b86c8baf73f.jpg',402,97,658,487
'0c36d40f22eef5f0.jpg',475,147,608,356
'0c45ac46bd15ec17.jpg',311,22,490,301
'0c7c395d73592d1e.jpg',370,170,498,347
'0d0e77bac63adbab.jpg',277,132,426,361
'0d814d06d6948a20.jpg',393,123,512,298
'0d8418e45be346b6.jpg',521,306,649,525
'0de493e8620d5dee.jpg',374,210,502,470
'0e345fa1d8292cbc.jpg',204,169,411,397
'0e8f7b309e275c74.jpg',274,185,580,497
'0e98e2ab07db2620.jpg',360,219,586,653
'0ea4ebe9b162f364.jpg',434,185,553,320
'0ea5e0b4c5a9c42a.jpg',324,79,544,282
'0ea6e459fbb37e9c.jpg',260,42,507,344
'0ead0d4907a8beb6.jpg',213,50,442,416
'0f214dc4d972783e.jpg',452,149,571,317
'0f54110a2772b609.jpg',258,301,349,530
'0f61259829e4cef4.jpg',262,246,371,475
'1003e4c98b30d38b.jpg',284,278,401,502
'1096e6f6fd042a04.jpg',365,152,772,518
'111ab53f870ca58d.jpg',384,92,626,432
'1145d1260aeb252c.jpg',274,233,404,466
'11dcca32be84ee7a.jpg',438,130,562,301
'11dfdab5cea24bb0.jpg',234,68,454,429
'128aa78173186353.jpg',286,251,390,553
'129192d21dad76bc.jpg',225,82,442,457
'12a6c1ec223e171b.jpg',311,146,478,470
'12d1a716a6990ce0.jpg',132,64,384,418
'12d92c1569dbe9c5.jpg',230,196,444,544
'12d95c611849b3c7.jpg',370,175,516,339
'12eff019562a4ab1.jpg',406,18,589,283
'133fd710a999d941.jpg',429,269,544,470
'134c155ba2572eac.jpg',379,48,626,406
'135839876b327579.jpg',507,145,681,380
'1372bfa96fd9f37b.jpg',434,186,553,349
'137e937a6b6f547f.jpg',352,36,676,457
'139b54a4124867ef.jpg',411,155,539,331
'1403543246ecac63.jpg',370,183,635,493
'140f2352dd04fc55.jpg',199,105,595,672
'1428c2584d0880b4.jpg',292,123,557,404
'143e8e7ca370e6e0.jpg',298,224,401,457
'143f08b41f0474b7.jpg',280,59,420,301
'1467d68c75854b88.jpg',425,239,562,419
'14c5532170d056ea.jpg',161,187,584,754
'14c862f07ca54811.jpg',167,114,469,598
'15d472b07a66c7bf.jpg',254,173,364,393
'15dcd8bd5f87f58a.jpg',283,251,365,470
'15e95964614a1499.jpg',342,140,480,336
'15f88e9e2ecf3af4.jpg',301,82,618,525
'1609c9413e120812.jpg',493,13,845,504
'16550766a07ba0f3.jpg',338,210,646,617
'16b41120e06187a0.jpg',283,100,548,386
'1727b83f56fd4f67.jpg',280,214,372,475
'175d4423b0a9018c.jpg',233,112,498,448
'1784e218767a84b1.jpg',290,187,385,429
'17868c7559926c08.jpg',313,137,439,365
'17b18705a1d4550e.jpg',333,70,617,524
'181c2bf0e3b8ea53.jpg',475,118,640,295
'18226c8767553fb5.jpg',141,30,653,486
'187ae315d9ad73b4.jpg',264,201,398,475
'1887c45954701b6e.jpg',598,79,731,231
'188c72ac3cf5be5a.jpg',397,237,539,452
'18e886a64da7373a.jpg',269,48,589,490
'18ed0229e31ccfa7.jpg',194,54,360,320
'1906031fc5dec225.jpg',228,12,617,601
'19220ef50c0f199c.jpg',221,59,411,379
'1993c8ea90103001.jpg',192,118,364,443
'19f9378635fcc2b4.jpg',140,137,469,598
'1a14f22414a2bab1.jpg',370,342,676,699
'1a2cebdb5a1f11fd.jpg',233,68,608,461
'1a5e7eedc3d7d693.jpg',384,174,562,384
'1a74b2bd41446529.jpg',196,42,635,563
'1ab424a072664776.jpg',239,146,412,425
'1ace59fa07cef07b.jpg',416,154,553,329
'1ae9cfd4bfd23256.jpg',322,292,421,475
'1b0163bec3ed0a91.jpg',461,152,580,299
'1b4c875b75301d13.jpg',397,70,571,293
'1b5800cddbfdf4f6.jpg',416,138,539,272
'1b7d57e3b8dff48c.jpg',315,188,502,360
'1b91bbfc1a4b74ef.jpg',212,228,390,534
'1bb8c3b195269530.jpg',276,251,389,493
'1bd1bb9442164e28.jpg',147,82,613,763
'1d5a539d48254e2e.jpg',118,-36,772,641
'1d6ab0c7f3def16b.jpg',160,91,361,343
'1d713f76ada967e1.jpg',256,233,345,457
'1d777a1abd1029c0.jpg',452,198,566,387
'1e09846987a65f66.jpg',594,152,795,390
'1e3373d580c81395.jpg',150,17,608,438
'1e63efeb9094cb0d.jpg',294,229,437,363
'1e6579d313b3b434.jpg',338,15,667,525
'1ecaeb1cb17b9329.jpg',29,128,719,1042
'1ef199b29956d816.jpg',420,30,589,264
'1f2030379cb83dcc.jpg',233,112,480,378
'1f38a0069a780083.jpg',236,187,600,608
'1f4fde05f795b3dc.jpg',379,171,489,363
'1fc4d26360bc5d5d.jpg',289,288,405,507
'1fe1c7f6f69e1278.jpg',443,168,580,322
'1fe1d6e0b83f7b5c.jpg',617,127,818,393
'1ffb5b8e0243b6ac.jpg',228,201,413,571
'209d5baabd1d23e0.jpg',484,54,699,305
'210915473f40c687.jpg',352,143,598,396
'211af4e4f094e19e.jpg',361,150,690,510
'212e12cfed91a76b.jpg',333,147,553,418
'2179393c7eef96f0.jpg',448,306,621,562
'21d4170bed981be1.jpg',288,32,589,544
'221e69ce82890d2e.jpg',411,126,617,408
'22227a8082c115e2.jpg',240,146,378,416
'2229a1741a8ecec5.jpg',233,64,722,606
'2240f378b0f63551.jpg',585,24,708,281
'224db15b804b1cc0.jpg',425,315,635,566
'226d2e6d34d5f90f.jpg',219,205,425,512
'22b79d12683e3984.jpg',425,246,539,461
'22f5e08c039bef8e.jpg',245,274,317,484
'230000e1c3a0acab.jpg',291,278,524,603
'234e65dc37795eed.jpg',332,246,641,649
'23758f10ed7923c2.jpg',397,161,525,314
'23945caa77dd9cdd.jpg',344,251,472,498
'239a663cc7ff31ac.jpg',416,181,534,356
'23b77a03893c1470.jpg',205,15,580,527
'24a9da185542b0f4.jpg',258,214,452,562
'24ca2814de6cded6.jpg',338,70,502,367
'24e5854404135b28.jpg',402,164,516,320
'24e95619b445cf77.jpg',425,128,644,402
'2529b38104507fd0.jpg',365,116,516,336
'254b8a148451e5df.jpg',374,130,534,360
'254d821065b674ef.jpg',266,54,429,365
'25788a795ba0d072.jpg',65,50,706,777
'258d2147845ea898.jpg',116,338,267,585
'259916bc8fd50436.jpg',317,269,450,539
'25a7a462b1e51c39.jpg',379,145,489,312
'25b5366fd785c405.jpg',379,24,585,296
'25bafdf24f4bf948.jpg',411,133,548,308
'25c3adb9d91d6cef.jpg',285,141,423,411
'260773804d844d53.jpg',452,174,571,322
'2633905fdf43e90e.jpg',521,86,800,462
'26513a0d0e6fd2b6.jpg',434,94,553,236
'2689e07d9c07eb9e.jpg',461,167,580,346
'2699350613a915b6.jpg',370,140,562,408
'26c62c9a9749a6b5.jpg',311,388,534,726
'26dc6885458ea1f2.jpg',229,269,330,461
'26ebe841f8563ffc.jpg',411,202,553,360
'26ec08977c9c80a5.jpg',315,41,510,347
'2727e345bac2105b.jpg',301,127,534,463
'27497f21bfb80f06.jpg',251,24,749,634
'275c10ede6ae646b.jpg',178,30,411,329
'277d8071d4462667.jpg',338,173,466,367
'278c213d8ce5acee.jpg',379,134,516,307
'27b2728b05fe8ee0.jpg',217,64,603,640
'27dfeb895385edea.jpg',117,77,462,598
'27fdd615d4b35060.jpg',374,167,521,353
'288c6e2a01ac19ac.jpg',374,60,598,356
'289bd5ca42b63c2d.jpg',512,216,681,454
'28ca9d2f176da7b5.jpg',234,205,335,457
'29215976e47120fa.jpg',203,100,324,329
'292f7124eb42e98a.jpg',320,74,548,378
'294c4dc7587d1d77.jpg',534,111,786,432
'294d471b0e68331d.jpg',379,96,521,334
'2962b320b6259fbe.jpg',411,183,534,330
'296b6b729897f352.jpg',288,150,736,701
'298ad230e4895aea.jpg',452,48,795,435
'29a5d345b46c5714.jpg',307,224,387,461
'29a8091e2078fb74.jpg',225,242,454,594
'29c504b55c047d6c.jpg',253,338,387,562
'2a1a67c759eeeb36.jpg',393,57,621,502
'2a7ee55be7bb25ef.jpg',342,30,653,407
'2a9d70ceb1c8988d.jpg',361,164,534,360
'2b196ce6440a60f3.jpg',425,78,704,510
'2b29b0237fb48e9e.jpg',259,192,369,406
'2b2aa1d14742ffea.jpg',397,139,516,291
'2b63cf2d4a5370a0.jpg',402,91,589,364
'2bd28f161ef292a0.jpg',406,240,598,448
'2bd82627a7540221.jpg',352,143,562,329
'2c56c1a6d968edf6.jpg',534,48,694,259
'2ca3e844c9e68b58.jpg',309,187,606,585
'2cacea1169b122b4.jpg',219,58,443,418
'2cc9a43527ddde6b.jpg',402,163,544,341
'2cff7385702a0d9e.jpg',324,265,444,516
'2d48fda0f2af9f3b.jpg',201,434,454,809
'2d7136b1604e7dc2.jpg',521,119,640,302
'2d78fd6d82bfd504.jpg',388,42,699,437
'2d89e72ba55de898.jpg',416,120,534,267
'2da714cfb58b4c77.jpg',365,164,626,635
'2dcaac5d24208129.jpg',457,274,676,562
'2dd2075725815f81.jpg',262,123,548,548
'2e096748ea302ac5.jpg',265,122,452,349
'2e3ffc9a5c09f711.jpg',342,65,667,500
'2e4321b09ff5a3a5.jpg',365,189,548,373
'2e4ad7587b99f6ce.jpg',310,181,463,380
'2e8dbc4b610a2ab4.jpg',379,157,516,325
'2eb73c9776f177c4.jpg',256,73,635,405
'2f0b94e6d1c5e95e.jpg',301,181,459,456
'2f1840edd3bb3e2e.jpg',366,32,497,269
'2f2b70f0411dade5.jpg',429,157,548,339
'2f2e542ea31fded5.jpg',434,140,562,304
'2f3e381fb6dbe4f3.jpg',384,212,521,373
'2f44bf0805bf06f6.jpg',370,94,608,443
'2f48b18030c268c8.jpg',137,15,950,631
'2f6237bc3de0ce14.jpg',147,96,565,694
'2f76a03cba54ec43.jpg',461,192,598,373
'2fd1e17695d6da99.jpg',361,51,818,524
'301c6509a70192a7.jpg',365,94,562,343
'302c446b411d8036.jpg',434,115,608,375
'3034075af0dc56b3.jpg',229,169,480,539
'30380dc8cc31ce56.jpg',452,161,557,322
'3099fc6473713c03.jpg',283,27,429,233
'30a700c8dcb2666f.jpg',448,143,571,298
'30d34bb9db2ccaab.jpg',420,138,580,332
'30d56d031b48161b.jpg',18,13,634,982
'30e92fed4b1d1d5d.jpg',267,333,365,525
'314c5aeebfade3b5.jpg',416,146,530,295
'318fcb87829119f7.jpg',201,278,276,502
'31ab7ffff153fa3b.jpg',420,130,598,400
'320c5c1eda882373.jpg',402,121,621,417
'32212f1e06265f31.jpg',347,16,717,549
'32485c304fd55ab5.jpg',408,201,531,452
'325630efdf5048b1.jpg',384,125,512,293
'328f36b3efc0b0c5.jpg',218,201,511,626
'32933c2bd517f182.jpg',397,212,534,373
'32cd6d9a2e9d0feb.jpg',223,315,369,525
'3310c76c49c80a79.jpg',315,122,566,443
'331486cfbc6c9e46.jpg',146,41,832,928
'338ac960c03c9d01.jpg',287,224,368,443
'33b5df84041fd9ee.jpg',333,192,457,397
'33c1f1e36bdb2d70.jpg',448,139,562,291
'33dbe9cf8c1c8dd8.jpg',379,145,502,300
'33f316a2e36c8eb5.jpg',434,185,603,462
'33f60f2d2471d61e.jpg',461,200,571,341
'3441b63b3e196296.jpg',365,140,507,286
'346a288684bb3c40.jpg',470,21,745,391
'3482cebe2812ac6a.jpg',288,256,370,466
'34d0eb873241fea3.jpg',470,109,612,360
'34d1ccf191955c7d.jpg',284,173,390,406
'34d9195cf7c9a86a.jpg',342,236,589,476
'34d9e8115cfb6d1a.jpg',269,77,562,521
'34e04b96554f2c12.jpg',259,347,350,566
'34f52f92d41238b7.jpg',383,54,564,301
'354999fbb3a93b90.jpg',18,41,399,589
'355b8b21524e61c6.jpg',370,42,566,295
'356246311576d074.jpg',114,95,352,420
'35ad9ea608ed628d.jpg',198,269,490,694
'35dbe8cbc32a7dd1.jpg',315,137,435,377
'35f85d3d63aa0bce.jpg',420,199,539,341
'360eb525520851e6.jpg',275,50,626,498
'368b4f96d6026d16.jpg',448,195,562,335
'3697b6afa40b6447.jpg',155,58,315,325
'3707e01251b428c3.jpg',281,242,424,484
'37500ca0b23f7202.jpg',425,178,580,351
'377799edb154f080.jpg',182,57,653,376
'378a925c3687d43a.jpg',289,45,450,333
'37a5bdf56ed8473a.jpg',429,137,585,323
'37b43fc83c84aeaa.jpg',306,57,621,472
'37b7440ea2d415c1.jpg',224,85,617,448
'37c51177828aee91.jpg',429,142,544,336
'37c6dda470cc558e.jpg',388,131,580,304
'3815bf63e1e26748.jpg',73,61,594,586
'385e3b5c8cfc4a89.jpg',370,146,516,317
'387e05a9e6714766.jpg',179,-13,612,612
'38cf871e297fcddd.jpg',475,161,598,312
'392f54fc6d3a4294.jpg',240,169,486,502
'3958af9b704ddee7.jpg',352,198,480,377
'3968768f9121a734.jpg',201,173,538,644
'39b92dbcaa0fbdf4.jpg',388,205,530,387
'39e3b21ca47af089.jpg',397,150,525,346
'39f16591c457aec1.jpg',333,68,685,589
'3a4aa6f2e2d333cc.jpg',566,136,662,318
'3a5f0c7ddc6bdbe9.jpg',356,75,502,258
'3a8bd02dc6294dd4.jpg',397,126,580,303
'3a8cd44546241b0a.jpg',402,96,626,357
'3aa538300ad6a33b.jpg',246,150,421,411
'3abb97505eb92093.jpg',265,201,390,461
'3ad7c4590661071c.jpg',278,269,369,470
'3ad9921510a143a3.jpg',179,18,431,370
'3ae626396ceb70b5.jpg',379,169,539,354
'3ae8add9d8779169.jpg',274,51,580,377
'3b2a680bc39fdf49.jpg',342,10,612,384
'3b34e7ea85cf0867.jpg',184,196,257,384
'3b6098906cc60344.jpg',585,113,772,353
'3b66514d5a762935.jpg',384,161,617,390
'3b8876894eea035a.jpg',525,129,699,352
'3ba455c4069a2f60.jpg',85,100,533,745
'3bc57a93178fddaa.jpg',352,190,516,368
'3bcf8fc508ae0887.jpg',425,116,530,266
'3bd4fb5799523956.jpg',393,120,534,308
'3befcd1982f0a04a.jpg',280,105,433,356
'3bfdad925d0e7517.jpg',201,43,438,385
'3c28ef6e9b63a127.jpg',461,137,571,314
'3c556803a964672a.jpg',192,42,384,250
'3c5b9dd1a0fbe41d.jpg',310,99,672,504
'3c83761f36944184.jpg',448,124,882,686
'3c9187f4bb6aec93.jpg',166,160,429,594
'3cd2e9e9eb74f0ba.jpg',274,210,457,470
'3ce3a9baaa8a571a.jpg',365,144,571,336
'3d168cb6d4dd455f.jpg',438,69,553,144
'3d9090fab4d4fd14.jpg',388,100,640,375
'3dfbd51d2fc4f887.jpg',236,118,490,539
'3e3b16ae6ed4b2b6.jpg',270,169,391,342
'3e9ee8a88cfc54b5.jpg',219,98,397,369
'3ec46a448c4cedd9.jpg',125,45,513,681
